Linha,prefixo,count,,,,,,,
931,7239,4742,,,,,,,
930EX1,6602,4738,,,,,,,
907,7284,4687,,,,,,,
927,7311,4655,,,,,,,
915,7508,4630,,,,,,,
941,8632,4626,,,,,,,
943,7141,4606,,,,,,,
934,7124,4584,,,,,,,
934,7255,4554,,,,,,,
900,7200,4544,,,,,,,
931,7301,4543,,,,,,,
941,7308,4501,,,,,,,
901BI1,7401,4493,,,,,,,
904,8644,4490,,,,,,,
902,7537,4484,,,,,,,
907,7288,4481,,,,,,,
947,7228,4460,,,,,,,
931,8610,4443,,,,,,,
942,8134,4441,,,,,,,
903,8003,4414,,,,,,,
931,8612,4413,,,,,,,
934,8630,4392,,,,,,,
930EX1,6612,4390,,,,,,,
931,8609,4390,,,,,,,
919,7159,4337,,,,,,,
931,7300,4336,,,,,,,
901BI1,7570,4326,,,,,,,
914,7252,4326,,,,,,,
927,7149,4319,,,,,,,
931,7313,4278,,,,,,,
931,7314,4265,,,,,,,
912,7121,4257,,,,,,,
943,8420,4253,,,,,,,
907,7290,4249,,,,,,,
908,7413,4201,,,,,,,
951,6606,4194,,,,,,,
928,7265,4189,,,,,,,
931,8434,4166,,,,,,,
939,8414,4134,,,,,,,
900,7206,4107,,,,,,,
905,9500,4093,,,,,,,
943,7116,4072,,,,,,,
903,9105,4070,,,,,,,
914,7248,4058,,,,,,,
940,7153,4054,,,,,,,
931,8641,4047,,,,,,,
933,7244,4017,,,,,,,
934,7133,4004,,,,,,,
932,7127,3981,,,,,,,
933,7250,3958,,,,,,,
934EX1,8429,3946,,,,,,,
904,8634,3943,,,,,,,
905,9501,3925,,,,,,,
905,8621,3842,,,,,,,
912,7107,3828,,,,,,,
907,7279,3822,,,,,,,
943BI1,8626,3820,,,,,,,
907,7285,3812,,,,,,,
908,7524,3806,,,,,,,
931,7136,3797,,,,,,,
927,8638,3794,,,,,,,
912,7117,3792,,,,,,,
900,8656,3784,,,,,,,
908,7419,3781,,,,,,,
931,7309,3777,,,,,,,
942,8130,3768,,,,,,,
943,7122,3768,,,,,,,
900,7207,3765,,,,,,,
901BI1,8654,3765,,,,,,,
932,7110,3756,,,,,,,
905,9512,3749,,,,,,,
931,7152,3729,,,,,,,
937,7260,3725,,,,,,,
900,7202,3711,,,,,,,
950,6201,3710,,,,,,,
905,9504,3664,,,,,,,
904,8433,3662,,,,,,,
948,7145,3647,,,,,,,
939,8604,3612,,,,,,,
948,7272,3600,,,,,,,
937,7586,3584,,,,,,,
933,7260,3569,,,,,,,
925,7539,3552,,,,,,,
907,7280,3548,,,,,,,
918,8201,3542,,,,,,,
931,7268,3537,,,,,,,
934EX1,7106,3524,,,,,,,
940,7126,3517,,,,,,,
907,7286,3516,,,,,,,
934EX1,7129,3501,,,,,,,
927,7306,3500,,,,,,,
906,8132,3487,,,,,,,
955,9509,3483,,,,,,,
939,8628,3481,,,,,,,
930,8663,3463,,,,,,,
933,7259,3458,,,,,,,
948,7114,3458,,,,,,,
928,8624,3452,,,,,,,
934EX1,8426,3407,,,,,,,
940,8427,3406,,,,,,,
947,7547,3389,,,,,,,
933,7251,3364,,,,,,,
934EX1,7077,3364,,,,,,,
940,8428,3356,,,,,,,
904,7262,3322,,,,,,,
939,7108,3317,,,,,,,
918,8202,3314,,,,,,,
942,8128,3298,,,,,,,
942,7566,3293,,,,,,,
934,8629,3292,,,,,,,
955,8619,3282,,,,,,,
955,9507,3282,,,,,,,
934,7113,3275,,,,,,,
933,7240,3274,,,,,,,
931,7139,3251,,,,,,,
949,6610,3240,,,,,,,
