['591235', '', 'Rodovia Anchieta, 990-1134', '', '-23.92965322742866', '-46.35917508996309', '', '', '0', '']
['640148', '', 'Avenida Martins Fontes, 2679-2777', '', '-23.93041860270504', '-46.353721453453176', '', '', '0', '']
['613202', '', 'Avenida Martins Fontes, 835', '', '-23.931048553337043', '-46.347724931466644', '', '', '0', '']
['558408', '', 'Av. Pres. Get\xc3\xbalio Dornelles Vargas', '', '-23.929587641035177', '-46.34197030161896', '', '', '0', '']
['560247', '', 'Av. Pres. Get\xc3\xbalio Dornelles Vargas, 505-531', '', '-23.931759105681994', '-46.3383602026603', '', '', '0', '']
['641129', '', 'Avenida Presidente Get\xc3\xbalio Dorneles Vargas, 109-113', '', '-23.933441754301377', '-46.336506780509396', '', '', '0', '']
['653066', '', 'R. S\xc3\xa3o Francisco, 64-78', '', '-23.936586784267895', '-46.33051988255655', '', '', '0', '']
['557215', '', 'Rua Martin Afonso, 171', '', '-23.937298067013593', '-46.32718639643939', '', '', '0', '']
['637193', '', 'R. S\xc3\xa3o Francisco, 214', '', '-23.937579534557173', '-46.32532351748755', '', '', '0', '']
['591236', '', 'Rua S\xc3\xa3o Francisco, 288', '', '-23.938131338560858', '-46.322871005384236', '', '', '0', '']
['614179', '', 'Rua S\xc3\xa3o Francisco, 402', '', '-23.938757050203538', '-46.31983212932888', '', '', '0', '']
['631054', '', 'Rua Jo\xc3\xa3o Pessoa, 369-417', '', '-23.936313391537', '-46.31988188178292', '', '', '0', '']
['594333', '', 'Rua Jo\xc3\xa3o Pessoa, 325', '', '-23.935861556348684', '-46.322189757757144', '', '', '0', '']
['567477', '', 'Pra\xc3\xa7a Jos\xc3\xa9 Bonif\xc3\xa1cio, 34', '', '-23.93683026689593', '-46.32564582086985', '', '', '0', '']
['541797', '', 'Avenida Senador Feij\xc3\xb3, 208', '', '-23.93931588312244', '-46.3259055894771', '', '', '0', '']
['652036', '', 'Avenida Senador Feij\xc3\xb3, 354', '', '-23.942902793757153', '-46.32633753559834', '', '', '0', '']
['568465', '', 'Avenida Senador Feij\xc3\xb3, 426-450', '', '-23.945194666434567', '-46.326613439246344', '', '', '0', '']
['634264', '', 'Rua Br\xc3\xa1s Cubas, 353', '', '-23.94494803166682', '-46.32515531129552', '', '', '0', '']
['642205', '', 'Rua Br\xc3\xa1s Cubas, 285-289', '', '-23.942810545657906', '-46.32501469829239', '', '', '0', '']
['652037', '', 'Rua Br\xc3\xa1s Cubas, 187-215', '', '-23.940305970959017', '-46.324808338463825', '', '', '0', '']
['541798', '', 'Rua Jo\xc3\xa3o Pessoa, 175', '', '-23.93508401560426', '-46.3258993861751', '', '', '0', '']
['633238', '', 'Rua Jo\xc3\xa3o Pessoa, 35', '', '-23.93437829318428', '-46.329408297515684', '', '', '0', '']
['537801', '', 'Avenida Visconde de S\xc3\xa3o Leopoldo, 666-668', '', '-23.93160655411645', '-46.33735197150976', '', '', '0', '']
['594334', '', 'Avenida Martins Fontes, 394-806', '', '-23.92993532120948', '-46.34054646932462', '', '', '0', '']
['568466', '', 'Avenida Martins Fontes, 394-806', '', '-23.930032561435276', '-46.34655727763648', '', '', '0', '']
['634266', '', 'BR-050, 872-986', '', '-23.930074528110282', '-46.35318255411691', '', '', '0', '']
['652038', '', 'Rodovia Anchieta, 426', '', '-23.92850120015987', '-46.36466796200389', '', '', '0', '']
['588388', '', 'Rodovia Anchieta, 236', '', '-23.927909772615', '-46.36889432174714', '', '', '0', '']
['541799', '', 'Rodovia Anchieta, 236-630', '', '-23.92748386921774', '-46.371838110585614', '', '', '0', '']
['650085', '', 'Rodovia Anchieta, 2691', '', '-23.926927623499157', '-46.38592418066162', '', '', '0', '']
['652039', '', 'Rodovia Anchieta, 185-787', '', '-23.927106568870563', '-46.40248609644014', '', '', '0', '']
['598338', '', 'Rodovia Anchieta, 1-177', '', '-23.924778998998278', '-46.406597276148986', '', '', '0', '']
['644089', '', 'RUA SENHOR ROSARIO NASCIMENTO', '', '-23.920403656586497', '-46.28551649920881', '', '', '0', '']
['598309', '', 'Rodovia Doutor Manoel Hip\xc3\xb3lito do R\xc3\xaago', '', '-23.916213844752505', '-46.284612890847285', '', '', '0', '']
['650053', '', 'Rod. C\xc3\xb4nego Dom\xc3\xaanico Rangoni', '', '-23.917339016898545', '-46.28854007685862', '', '', '0', '']
['540801', '', 'Avenida \xc3\x81urea Gonz\xc3\xa1les de Cond\xc3\xa9, 519', '', '-23.939073062060242', '-46.28224361072677', '', '', '0', '']
['598311', '', 'Avenida \xc3\x81urea Gonz\xc3\xa1les de Cond\xc3\xa9, 127', '', '-23.940333889917394', '-46.28569706563957', '', '', '0', '']
['567446', '', 'Avenida Presidente Vargas, 973-1007', '', '-23.940879685445854', '-46.28850216310671', '', '', '0', '']
['540802', '', 'Av. Pres. Vargas, 482-550', '', '-23.941081798924166', '-46.291680386280035', '', '', '0', '']
['638221', '', 'Avenida Presidente Vargas, 299', '', '-23.941673301604872', '-46.29595119714695', '', '', '0', '']
['588361', '', 'Avenida Presidente Vargas, 69-83', '', '-23.942698772643602', '-46.29833628469791', '', '', '0', '']
['652009', '', 'Avenida Santos Dumont, 1088', '', '-23.943866921768606', '-46.299805964965394', '', '', '0', '']
['567447', '', 'Avenida Thiago Ferreira, 385-395', '', '-23.94101312163778', '-46.30476988348204', '', '', '0', '']
['594306', '', 'Terminal rodovi\xc3\xa1rio Nelly Peyres Sobral', '', '-23.94071393572548', '-46.30664239232369', '', '', '0', '']
['633215', '', 'Rua Maranh\xc3\xa3o, 298', '', '-23.943021268681676', '-46.303729900739256', '', '', '0', '']
['541772', '', 'Rua Marechal Floriano Peixoto, 56', '', '-23.94524103706577', '-46.302550911516946', '', '', '0', '']
['594307', '', 'Avenida Guilherme Backeuser, 602', '', '-23.946358001825327', '-46.30114221438497', '', '', '0', '']
['647146', '', 'Rua Mato Grosso, 686-716', '', '-23.944534212857064', '-46.299887605585596', '', '', '0', '']
['540803', '', 'Av. Santos Dumont, 6129-6319', '', '-23.9464415461385', '-46.298214800958306', '', '', '0', '']
['594308', '', 'Avenida Santos Dumont, 1044-1098', '', '-23.9518993578342', '-46.29374682649129', '', '', '0', '']
['638222', '', 'Avenida Santos Dumont, 1470', '', '-23.954204138305442', '-46.2918611633077', '', '', '0', '']
['588362', '', 'Av. Santos Dumont, 4529-4865', '', '-23.956579906454937', '-46.289961581314664', '', '', '0', '']
['647147', '', 'Avenida Santos Dumont', '', '-23.958872967736678', '-46.288088949731396', '', '', '0', '']
['638223', '', 'Avenida Santos Dumont, 8410', '', '-23.960929984632877', '-46.286437882759245', '', '', '0', '']
['634243', '', 'Avenida Santos Dumont, 2853', '', '-23.963024506342567', '-46.28468403782382', '', '', '0', '']
['588363', '', 'Avenida Santos Dumont, 9214', '', '-23.965506808356217', '-46.282620075245696', '', '', '0', '']
['650055', '', 'Avenida Santos Dumont', '', '-23.96814192732874', '-46.28048035968312', '', '', '0', '']
['652011', '', 'Avenida Santos Dumont, 343-503', '', '-23.97265297721166', '-46.27676386121766', '', '', '0', '']
['633216', '', 'Avenida Santos Dumont, 1-65', '', '-23.97518393534818', '-46.274708099310956', '', '', '0', '']
['648044', '', 'Avenida Santos Dumont, 2-66', '', '-23.974768727895615', '-46.274765378654486', '', '', '0', '']
['599143', '', 'Avenida Santos Dumont, 344-504', '', '-23.972218506442477', '-46.276838383581854', '', '', '0', '']
['575139', '', 'Av. Santos Dumont, 3884-3950', '', '-23.962557003320782', '-46.284673015957836', '', '', '0', '']
['617116', '', 'Avenida Santos Dumont, 2629-2665', '', '-23.960522443124535', '-46.286332052787955', '', '', '0', '']
['558343', '', 'Avenida Santos Dumont, 2453-2501', '', '-23.958578792788444', '-46.287912930174826', '', '', '0', '']
['644087', '', 'Avenida Santos Dumont, 2087-2299', '', '-23.95590245941655', '-46.29008044072116', '', '', '0', '']
['648045', '', 'Avenida Santos Dumont, 1375-1421', '', '-23.953424186806338', '-46.292019370984335', '', '', '0', '']
['599144', '', 'Av. Santos Dumont, 5478-5646', '', '-23.951045291484206', '-46.293978565858865', '', '', '0', '']
['574152', '', 'Avenida Santos Dumont, 849', '', '-23.949392483364726', '-46.2953019151369', '', '', '0', '']
