"lat"; "lon"; "weight"
-24.1814;  -46.47876; 6
-23.96832;  -46.37649; 6
-23.99864;  -46.41446; 7
-23.96366;  -46.33234; 7
-23.96697;  -46.33262; 8
-23.96651;  -46.38678; 4
-23.96904;  -46.33548; 3
-23.99909;  -46.41418; 1
-23.96806;  -46.34214; 2
-23.96859;  -46.38268; 4
-23.99876;  -46.41458; 12
-23.95687;  -46.33786; 14
-23.95341;  -46.33106; 9
-23.96879;  -46.38548; 2
-23.99868;  -46.41452; 6
-23.95567;  -46.33772; 1
-24.1818;  -46.47872; 2
-23.96515;  -46.33257; 3
-23.96624;  -46.38656; 5
-24.1762;  -46.47419; 1
-23.96809;  -46.40058; 2
-23.96926;  -46.33468; 8
-23.97157;  -46.39163; 2
-23.9653;  -46.33899; 2
-23.96649;  -46.37982; 6
-23.96323;  -46.33863; 1
-23.9697;  -46.33324; 6
-23.97156;  -46.39235; 1
-23.9439;  -46.32521; 5
-23.93518;  -46.33441; 2
-23.97172;  -46.39477; 4
-23.96645;  -46.38677; 8
-23.94461;  -46.32556; 1
-23.96905;  -46.39097; 3
-23.9716;  -46.3701; 2
-23.96813;  -46.38747; 2
-23.99583;  -46.40886; 3
-23.93676;  -46.32464; 2
-23.96706;  -46.38161; 3
-23.93452;  -46.32961; 1
-24.1827;  -46.47877; 5
-24.1826;  -46.4788; 19
-23.96795;  -46.34867; 4
-23.99933;  -46.41425; 1
-23.96361;  -46.38515; 2
-23.96796;  -46.38211; 7
-23.99909;  -46.4142; 4
-23.95655;  -46.33144; 1
-23.97217;  -46.3993; 1
-23.96883;  -46.38549; 2
-23.94716;  -46.33036; 4
-24.1819;  -46.47875; 17
-23.94518;  -46.33532; 2
-23.9987;  -46.41439; 6
-23.99712;  -46.41024; 1
-23.96743;  -46.38184; 1
-23.97015;  -46.36763; 1
-23.99525;  -46.4079; 1
-23.96912;  -46.33303; 5
-23.96646;  -46.38675; 1
-23.95956;  -46.33186; 6
-23.9569;  -46.33781; 3
-23.97103;  -46.37112; 1
-24.1815;  -46.4787; 1
-24.181;  -46.4788; 6
-23.96871;  -46.33758; 4
-23.9518;  -46.33087; 6
-23.99908;  -46.4143; 7
-23.94732;  -46.33036; 7
-24.1811;  -46.47874; 15
-23.9444;  -46.32662; 1
-23.96957;  -46.33311; 4
-23.95876;  -46.33801; 1
-23.97053;  -46.39954; 3
-23.96889;  -46.35342; 7
-23.94443;  -46.32655; 1
-24.1813;  -46.47873; 10
-23.96796;  -46.3417; 5
-24.1815;  -46.47869; 5
-23.96769;  -46.37727; 2
-23.95334;  -46.33103; 7
-23.96814;  -46.34023; 6
-23.96881;  -46.35999; 2
-23.9446;  -46.32537; 8
-23.97177;  -46.39501; 1
-23.96881;  -46.38881; 2
-23.96876;  -46.36095; 4
-23.9686;  -46.35691; 5
-23.96716;  -46.33258; 1
-23.96547;  -46.38635; 2
-23.95342;  -46.33111; 2
-23.98271;  -46.40089; 3
-23.96805;  -46.34258; 1
-23.96798;  -46.38211; 3
-23.96607;  -46.38059; 2
-23.94407;  -46.32522; 2
-23.94512;  -46.33004; 3
-23.96618;  -46.38006; 1
-23.96421;  -46.33879; 1
-23.96478;  -46.33254; 11
-24.1807;  -46.4787; 1
-23.99878;  -46.41324; 1
-23.94455;  -46.32573; 4
-23.96941;  -46.36373; 6
-23.96728;  -46.33252; 8
-23.96795;  -46.34539; 2
-23.9719;  -46.39825; 4
-23.96795;  -46.34881; 17
-23.99933;  -46.41423; 3
-23.9688;  -46.35629; 4
-23.96082;  -46.3382; 1
-23.98384;  -46.40095; 3
-23.9959;  -46.40887; 3
-24.181;  -46.47874; 5
-23.96794;  -46.3821; 2
-23.96935;  -46.37462; 2
-23.97976;  -46.4012; 4
-23.96906;  -46.3904; 10
-23.96656;  -46.33903; 5
-23.9632;  -46.33227; 6
-23.95614;  -46.33135; 10
-23.96775;  -46.4027; 2
-23.94445;  -46.32683; 2
-23.96848;  -46.35293; 4
-23.96816;  -46.34973; 3
-23.99861;  -46.41438; 5
-23.9695;  -46.36419; 3
-23.96981;  -46.39065; 7
-23.93694;  -46.32459; 3
-23.97176;  -46.40165; 6
-23.9713;  -46.37085; 1
-23.96747;  -46.3776; 1
-23.96785;  -46.34861; 3
-23.93392;  -46.33514; 2
-23.9681;  -46.35118; 7
-23.97016;  -46.36563; 7
-23.97073;  -46.37185; 4
-23.9342;  -46.33523; 6
-24.1819;  -46.47868; 10
-23.99878;  -46.41441; 8
-24.1814;  -46.47873; 9
-23.99873;  -46.41458; 1
-23.96271;  -46.33224; 1
-23.97422;  -46.40178; 1
-23.94517;  -46.33532; 3
-23.94233;  -46.32508; 5
-23.98926;  -46.40057; 7
-24.1816;  -46.47879; 4
-23.9686;  -46.35447; 4
-24.1825;  -46.47791; 5
-23.99878;  -46.4146; 4
-24.1816;  -46.47883; 1
-24.1822;  -46.47877; 29
-23.96799;  -46.34486; 2
-23.96774;  -46.34812; 4
-23.96566;  -46.38097; 4
-23.96669;  -46.38683; 6
-23.96536;  -46.33253; 4
-23.97169;  -46.39329; 2
-23.96863;  -46.3828; 6
-23.97147;  -46.36937; 2
-24.1811;  -46.47869; 3
-24.181;  -46.47871; 4
-23.99933;  -46.41424; 1
-23.96841;  -46.35648; 3
-23.96872;  -46.35522; 3
-23.96352;  -46.38518; 5
-23.93715;  -46.32468; 3
-23.98151;  -46.40113; 1
-24.1822;  -46.47813; 1
-23.94888;  -46.33691; 5
-23.99881;  -46.41451; 3
-24.1817;  -46.47877; 8
-24.1818;  -46.47876; 19
-23.99511;  -46.40726; 2
-24.1746;  -46.479; 1
