"lat"; "lon"; "weight"
 -23.96865;  -46.40071; 10000
 -23.9446;  -46.32529; 10000
 -23.96704;  -46.38692; 130000
 -23.95799;  -46.33804; 40000
 -23.97164;  -46.39847; 50000
 -23.96219;  -46.33218; 50000
 -23.97003;  -46.39167; 10000
 -23.9657;  -46.38099; 20000
 -23.97906;  -46.40138; 80000
 -23.95803;  -46.338; 30000
 -23.98062;  -46.40103; 40000
 -23.97955;  -46.40138; 30000
 -24.1815;  -46.47875; 240000
 -23.96792;  -46.34541; 20000
 -23.9672;  -46.33255; 70000
 -23.93512;  -46.32612; 50000
 -23.96498;  -46.38269; 10000
 -23.9679;  -46.34615; 30000
 -23.98698;  -46.40059; 140000
 -23.96033;  -46.33836; 20000
 -23.99123;  -46.40284; 50000
 -23.97077;  -46.37151; 60000
 -24.1816;  -46.47874; 40000
 -23.93315;  -46.33441; 80000
 -23.96643;  -46.37976; 30000
 -23.99863;  -46.41443; 40000
 -23.96845;  -46.38248; 40000
 -23.97185;  -46.36955; 10000
 -23.94749;  -46.33033; 40000
 -24.1825;  -46.47879; 70000
 -23.96607;  -46.3865; 20000
 -23.96215;  -46.33223; 60000
 -24.91;  -46.45493; 50000
 -23.97174;  -46.39333; 50000
 -24.1401;  -46.46218; 30000
 -23.99404;  -46.40628; 40000
 -23.9697;  -46.33321; 20000
 -23.9918;  -46.40333; 10000
 -23.96806;  -46.34093; 40000
 -23.9683;  -46.33991; 80000
 -24.1807;  -46.47852; 10000
 -23.96488;  -46.33251; 70000
 -24.18;  -46.47866; 60000
 -23.93505;  -46.32668; 20000
 -23.96842;  -46.35642; 10000
 -23.96897;  -46.38561; 30000
 -24.1814;  -46.47871; 70000
 -23.99873;  -46.4144; 30000
 -23.96878;  -46.36014; 10000
 -23.96869;  -46.35557; 60000
 -23.96846;  -46.33894; 30000
 -23.9687;  -46.35602; 120000
 -23.93535;  -46.32488; 70000
 -23.9336;  -46.33498; 10000
 -23.9987;  -46.41447; 60000
 -23.96971;  -46.40032; 40000
 -23.96101;  -46.33205; 120000
 -23.97191;  -46.39572; 10000
 -23.99868;  -46.41459; 20000
 -23.9702;  -46.36792; 10000
 -24.1824;  -46.47863; 40000
 -23.97017;  -46.37302; 20000
 -23.97172;  -46.3928; 10000
 -24.1818;  -46.47869; 20000
 -23.94506;  -46.3353; 80000
 -23.97164;  -46.39323; 60000
 -23.9677;  -46.37722; 50000
 -23.97147;  -46.36953; 10000
 -23.95165;  -46.33082; 20000
 -23.93653;  -46.32457; 50000
 -23.97195;  -46.3966; 40000
 -23.99867;  -46.41447; 40000
 -23.99832;  -46.41406; 70000
 -23.97171;  -46.36894; 100000
 -23.94543;  -46.3301; 30000
 -24.1808;  -46.47867; 80000
 -23.99411;  -46.40633; 20000
 -23.94457;  -46.32541; 30000
 -23.96608;  -46.38052; 60000
 -23.96878;  -46.38828; 60000
 -24.1806;  -46.47864; 10000
 -23.95959;  -46.33183; 60000
 -23.96829;  -46.40217; 30000
 -23.95372;  -46.33115; 30000
 -24.1809;  -46.47876; 50000
 -23.99934;  -46.41423; 90000
 -23.93416;  -46.33524; 10000
 -24.1807;  -46.47868; 30000
 -23.9988;  -46.41206; 10000
 -23.9715;  -46.37019; 90000
 -23.96869;  -46.36069; 40000
 -23.96543;  -46.38637; 10000
 -24.1814;  -46.47876; 60000
 -23.96832;  -46.37649; 60000
 -23.99864;  -46.41446; 70000
 -23.96366;  -46.33234; 70000
 -23.96697;  -46.33262; 80000
 -23.96651;  -46.38678; 40000
 -23.96904;  -46.33548; 30000
 -23.99909;  -46.41418; 10000
 -23.96806;  -46.34214; 20000
 -23.96859;  -46.38268; 40000
 -23.99876;  -46.41458; 120000
 -23.95687;  -46.33786; 140000
 -23.95341;  -46.33106; 90000
 -23.96879;  -46.38548; 20000
 -23.99868;  -46.41452; 60000
 -23.95567;  -46.33772; 10000
 -24.1818;  -46.47872; 20000
 -23.96515;  -46.33257; 30000
 -23.96624;  -46.38656; 50000
 -24.1762;  -46.47419; 10000
 -23.96809;  -46.40058; 20000
 -23.96926;  -46.33468; 80000
 -23.97157;  -46.39163; 20000
 -23.9653;  -46.33899; 20000
 -23.96649;  -46.37982; 60000
 -23.96323;  -46.33863; 10000
 -23.9697;  -46.33324; 60000
 -23.97156;  -46.39235; 10000
 -23.9439;  -46.32521; 50000
 -23.93518;  -46.33441; 20000
 -23.97172;  -46.39477; 40000
 -23.96645;  -46.38677; 80000
 -23.94461;  -46.32556; 10000
 -23.96905;  -46.39097; 30000
 -23.9716;  -46.3701; 20000
 -23.96813;  -46.38747; 20000
 -23.99583;  -46.40886; 30000
 -23.93676;  -46.32464; 20000
 -23.96706;  -46.38161; 30000
 -23.93452;  -46.32961; 10000
 -24.1827;  -46.47877; 50000
 -24.1826;  -46.4788; 190000
 -23.96795;  -46.34867; 40000
 -23.99933;  -46.41425; 10000
 -23.96361;  -46.38515; 20000
 -23.96796;  -46.38211; 70000
 -23.99909;  -46.4142; 40000
 -23.95655;  -46.33144; 10000
 -23.97217;  -46.3993; 10000
 -23.96883;  -46.38549; 20000
 -23.94716;  -46.33036; 40000
 -24.1819;  -46.47875; 170000
 -23.94518;  -46.33532; 20000
 -23.9987;  -46.41439; 60000
 -23.99712;  -46.41024; 10000
 -23.96743;  -46.38184; 10000
 -23.97015;  -46.36763; 10000
 -23.99525;  -46.4079; 10000
 -23.96912;  -46.33303; 50000
 -23.96646;  -46.38675; 10000
 -23.95956;  -46.33186; 60000
 -23.9569;  -46.33781; 30000
 -23.97103;  -46.37112; 10000
 -24.1815;  -46.4787; 10000
 -24.181;  -46.4788; 60000
 -23.96871;  -46.33758; 40000
 -23.9518;  -46.33087; 60000
 -23.99908;  -46.4143; 70000
 -23.94732;  -46.33036; 70000
 -24.1811;  -46.47874; 150000
 -23.9444;  -46.32662; 10000
 -23.96957;  -46.33311; 40000
 -23.95876;  -46.33801; 10000
 -23.97053;  -46.39954; 30000
 -23.96889;  -46.35342; 70000
 -23.94443;  -46.32655; 10000
 -24.1813;  -46.47873; 100000
 -23.96796;  -46.3417; 50000
 -24.1815;  -46.47869; 50000
 -23.96769;  -46.37727; 20000
 -23.95334;  -46.33103; 70000
 -23.96814;  -46.34023; 60000
 -23.96881;  -46.35999; 20000
 -23.9446;  -46.32537; 80000
 -23.97177;  -46.39501; 10000
 -23.96881;  -46.38881; 20000
 -23.96876;  -46.36095; 40000
 -23.9686;  -46.35691; 50000
 -23.96716;  -46.33258; 10000
 -23.96547;  -46.38635; 20000
 -23.95342;  -46.33111; 20000
 -23.98271;  -46.40089; 30000
 -23.96805;  -46.34258; 10000
 -23.96798;  -46.38211; 30000
 -23.96607;  -46.38059; 20000
 -23.94407;  -46.32522; 20000
 -23.94512;  -46.33004; 30000
 -23.96618;  -46.38006; 10000
 -23.96421;  -46.33879; 10000
 -23.96478;  -46.33254; 110000
 -24.1807;  -46.4787; 10000
 -23.99878;  -46.41324; 10000
 -23.94455;  -46.32573; 40000
 -23.96941;  -46.36373; 60000
 -23.96728;  -46.33252; 80000
 -23.96795;  -46.34539; 20000
 -23.9719;  -46.39825; 40000
 -23.96795;  -46.34881; 170000
 -23.99933;  -46.41423; 30000
 -23.9688;  -46.35629; 40000
 -23.96082;  -46.3382; 10000
 -23.98384;  -46.40095; 30000
 -23.9959;  -46.40887; 30000
 -24.181;  -46.47874; 50000
 -23.96794;  -46.3821; 20000
 -23.96935;  -46.37462; 20000
 -23.97976;  -46.4012; 40000
 -23.96906;  -46.3904; 100000
 -23.96656;  -46.33903; 50000
 -23.9632;  -46.33227; 60000
 -23.95614;  -46.33135; 100000
 -23.96775;  -46.4027; 20000
 -23.94445;  -46.32683; 20000
 -23.96848;  -46.35293; 40000
 -23.96816;  -46.34973; 30000
 -23.99861;  -46.41438; 50000
 -23.9695;  -46.36419; 30000
 -23.96981;  -46.39065; 70000
 -23.93694;  -46.32459; 30000
 -23.97176;  -46.40165; 60000
 -23.9713;  -46.37085; 10000
 -23.96747;  -46.3776; 10000
 -23.96785;  -46.34861; 30000
 -23.93392;  -46.33514; 20000
 -23.9681;  -46.35118; 70000
 -23.97016;  -46.36563; 70000
 -23.97073;  -46.37185; 40000
 -23.9342;  -46.33523; 60000
 -24.1819;  -46.47868; 100000
 -23.99878;  -46.41441; 80000
 -24.1814;  -46.47873; 90000
 -23.99873;  -46.41458; 10000
 -23.96271;  -46.33224; 10000
 -23.97422;  -46.40178; 10000
 -23.94517;  -46.33532; 30000
 -23.94233;  -46.32508; 50000
 -23.98926;  -46.40057; 70000
 -24.1816;  -46.47879; 40000
 -23.9686;  -46.35447; 40000
 -24.1825;  -46.47791; 50000
 -23.99878;  -46.4146; 40000
 -24.1816;  -46.47883; 10000
 -24.1822;  -46.47877; 290000
 -23.96799;  -46.34486; 20000
 -23.96774;  -46.34812; 40000
 -23.96566;  -46.38097; 40000
 -23.96669;  -46.38683; 60000
 -23.96536;  -46.33253; 40000
 -23.97169;  -46.39329; 20000
 -23.96863;  -46.3828; 60000
 -23.97147;  -46.36937; 20000
 -24.1811;  -46.47869; 30000
 -24.181;  -46.47871; 40000
 -23.99933;  -46.41424; 10000
 -23.96841;  -46.35648; 30000
 -23.96872;  -46.35522; 30000
 -23.96352;  -46.38518; 50000
 -23.93715;  -46.32468; 30000
 -23.98151;  -46.40113; 10000
 -24.1822;  -46.47813; 10000
 -23.94888;  -46.33691; 50000
 -23.99881;  -46.41451; 30000
 -24.1817;  -46.47877; 80000
 -24.1818;  -46.47876; 190000
 -23.99511;  -46.40726; 20000
 -24.1746;  -46.479; 10000
 -23.98484;  -46.40067; 10000
 -23.96696;  -46.33274; 60000
 -23.95788;  -46.33802; 50000
 -23.99857;  -46.41417; 20000
 -23.97131;  -46.37077; 50000
 -24.1812;  -46.4788; 70000
 -24.1819;  -46.47884; 30000
 -23.9649;  -46.3389; 30000
 -24.1812;  -46.47876; 40000
 -23.9678;  -46.37716; 20000
 -24.1809;  -46.47874; 10000
 -23.97069;  -46.39151; 10000
 -23.96958;  -46.33331; 100000
 -23.99294;  -46.40499; 20000
 -23.94867;  -46.33686; 70000
 -23.99937;  -46.41307; 20000
 -23.95863;  -46.33172; 30000
 -23.96074;  -46.33201; 20000
 -23.99819;  -46.41179; 30000
 -23.96851;  -46.3571; 10000
 -23.99878;  -46.41458; 60000
 -23.96805;  -46.35236; 100000
 -24.1816;  -46.47872; 180000
 -23.93617;  -46.33275; 30000
 -23.99884;  -46.41439; 10000
 -23.93322;  -46.33436; 30000
 -23.99875;  -46.41455; 20000
 -23.99963;  -46.41316; 20000
 -23.95367;  -46.3375; 20000
 -24.156;  -46.42627; 40000
 -23.97013;  -46.36562; 30000
 -23.94421;  -46.32905; 40000
 -23.96825;  -46.35721; 40000
 -24.1814;  -46.47869; 20000
 -24.1819;  -46.47881; 20000
 -23.93417;  -46.33066; 20000
 -23.94979;  -46.33068; 10000
 -23.9639;  -46.38442; 40000
 -23.96909;  -46.33593; 110000
 -23.94028;  -46.32489; 10000
 -23.93691;  -46.32468; 60000
 -24.1811;  -46.47873; 50000
 -24.1813;  -46.47869; 70000
